,Name
801,Bedoucha (Jewish council member)
802,Beelitz (Oberstleutnant z.V.)
803,Beer
804,"Beer, Hirsz"
805,"Beer, Magda"
806,"Beer, Regina"
807,"Beer, Rudolf"
808,"Beer, Walter"
809,"Beer, Werner"
810,"Beer, Wilhelm"
811,"Beerman, Armin"
812,"Beermann, Milli"
813,Beeskow
814,"Beest, Werner"
815,"Begański, Piotr"
816,"Begański, Stanisława"
817,"Beger, Semen"
818,"Begma, Vasily/Vassily"
819,"Beham, Christian"
820,"Behar, Victoria"
821,"Behnke, Karl"
822,"Behnke, Richard"
823,Behr
824,Behr (Oberleutnant d.R.)
825,"Behr, Paul"
826,Behrend
827,Behrendt
828,Behrens
829,Behrens (Oberst)
830,Behrens (Oberstleutnant)
831,"Behrens, Ernst"
832,"Behrens, Fritz"
833,"Behrens, Heinrich"
834,"Behringer, Otto"
835,Behrndt
836,Beiche
837,"Beier, Johannes"
838,"Beierwaltes, Andreas"
839,"Beigel, Ferdinand"
840,"Beilhardt, Erna"
841,"Beilisch, Siegfried"
842,"Beimler, Hans"
843,"Beimler-Herker, Centa"
844,"Beiniş, Carol"
845,"Beiser, Fishel"
846,"Beissel, Werner"
847,"Beitlers, Miervaldis"
848,"Beitz, Berthold"
849,"Beiwoll, Frieda"
850,Beizerman
851,Bekel’ (doctor)
852,"Bekermos, Abram"
853,Bekker family
854,"Bel Aid, Mohamed"
855,"Belak, Mojżesz"
856,"Belardi, Italo"
857,Belaubre
858,Belaus
859,"Beldf, D. R."
860,Belemer
861,"Belenkaia, Lyubov’"
862,"Belev, Aleksandŭr"
863,"Belkaim, Kaddur"
864,"Bella, Alzreda"
865,"Bellaïche, Haïm"
866,"Bellaïche, Robert"
867,"Bellrich, Franziska"
868,"Bellwon, Roman"
869,"Beloborodov, Fishel"
870,"Belogrud, P."
871,Belokon’
872,Belotskii family
873,"Belotskii, Agaf’ia"
874,"Belotskii, Ivan"
875,"Belotskii, Mariia"
876,"Belousov, Evgenii"
877,"Belt, Anton"
878,"Belteki, Alexandru"
879,Belyavsky family
880,"Belyavsky, Alexander"
881,"Belyavsky, Efrosiniya"
882,Bel’kin
883,"Bel’ko, Grigorii Fedorovich"
884,Bem
885,"Bembenek, Lothar"
886,"Bemel, Alter"
887,Ben Aida (Adjutant-Chef)
888,"Ben-Yaakov, Yoseph"
889,Bena
890,"Benakuva, Itziak"
891,"Benario, Rudolf"
892,Benda
893,"Bendele, Alfons"
894,Bender
895,"Bender, Max"
896,"Bendes, Moshe Ahron"
897,"Benedek, Elizabet"
898,"Benedek, Marianne"
899,"Benedetti, Battista"
900,"Benedict, Hugo"
901,Benediek
902,"Benedig, Margareth"
903,Benedikt
904,"Benesch, Erika"
905,"Beneschek, Otto"
906,"Benesevišius, Benjaminas"
907,"Beneson, Gil"
908,"Beneson, Liba"
909,"Benewitz, Rudolf"
910,"Beneš, Edvard"
911,"Beniak, Stepanida See: Gutman, Ginda"
912,"Beniamin, Korse"
913,Bening
914,"Benj, Alfred"
915,"Benjamin, Ann"
916,"Benjamin, Walter"
917,"Benjamini, Sara"
918,Benjaminowitz family
919,"Benjaminowitz, Chana. See: Benjamin, Ann"
920,"Benkert, Hanns"
921,"Benmoumen, Ahmed"
922,"Benn, Kurt"
923,"Bensoussan, Abraham"
924,"Bentele, Anton"
925,"Bentham, Jeremy"
926,"Benthin, Adolf"
927,"Bentrup, Emil"
928,"Bentsman, Frida"
929,"Benz, Wolfgang"
930,"Benzler, Felix"
931,Ber
932,Bercivici family
933,"Bercovic, Avram"
934,"Bercu, Goldenberg"
935,"Berdichevskii, Iosif Iankelevich"
936,"Berechet, F."
937,"Berecki, Ernö"
938,"Beregfy, Károly"
939,"Bereikas, Gensas"
940,"Berenblum, Mala"
